Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
José Abreu,30,1247,MLB-AL,Chicago,156,675,621,95,189,43,6,33,102,35,6,119,15,0,4,21,3,0,0.304,0.354,0.552,0.906,José,Abreu,Abreu,547989
Cristhian Adames,25,1403,MLB-NL,Colorado,12,14,13,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0.0,0.071,0.0,0.071,Cristhian,Adames,Adames,542436
Lane Adams,27,1247,MLB-NL,Atlanta,82,122,109,19,30,4,1,5,20,10,0,37,1,1,1,3,10,0,0.275,0.339,0.468,0.807,Lane,Adams,Adams,572669
Matt Adams,28,1248,MLB-NL,"Atlanta,St. Louis",130,367,339,46,93,22,1,20,65,23,5,88,1,0,4,5,0,0,0.274,0.319,0.522,0.841,Matt,Adams,Adams,571431
Jim Adduci,32,1300,MLB-AL,Detroit,28,93,83,14,20,6,2,1,10,10,0,27,0,0,0,1,1,1,0.241,0.323,0.398,0.72,Jim,Adduci,Adduci,110073
Tim Adleman,29,1289,MLB-NL,Cincinnati,18,32,29,0,3,1,0,0,2,0,0,10,0,3,0,0,0,0,0.103,0.103,0.138,0.241,Tim,Adleman,Adleman,534947
Ehire Adrianza,27,1247,MLB-AL,Minnesota,68,186,162,30,43,9,2,2,24,16,1,25,1,1,6,0,8,1,0.265,0.324,0.383,0.707,Ehire,Adrianza,Adrianza,501303
Jesus Aguilar,27,1247,MLB-NL,Milwaukee,129,311,279,40,74,15,2,16,52,25,1,94,4,0,3,8,0,0,0.265,0.331,0.505,0.837,Jesus,Aguilar,Aguilar,542583
Nick Ahmed,27,1343,MLB-NL,Arizona,53,178,167,24,42,8,1,6,21,10,3,39,1,0,0,6,3,4,0.251,0.298,0.419,0.717,Nick,Ahmed,Ahmed,605113
Andrew Albers,31,1288,MLB-AL,Seattle,1,3,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1.0,1.0,1.0,2.0,Andrew,Albers,Albers,452027
Ozzie Albies,20,1247,MLB-NL,Atlanta,57,244,217,34,62,9,5,6,28,21,0,36,3,1,2,3,8,1,0.286,0.354,0.456,0.81,Ozzie,Albies,Albies,645277
Arismendy Alcantara,25,1300,MLB-NL,Cincinnati,68,108,105,13,18,3,1,1,7,2,0,38,0,1,0,2,2,0,0.171,0.187,0.248,0.435,Arismendy,Alcantara,Alcantara,570489
Scott Alexander,27,1300,MLB-AL,Kansas City,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Scott,Alexander,Alexander,518397
Jorge Alfaro,24,1248,MLB-NL,Philadelphia,29,114,107,12,34,6,0,5,14,3,1,33,4,0,0,2,0,0,0.318,0.36,0.514,0.874,Jorge,Alfaro,Alfaro,595751
Anthony Alford,22,1378,MLB-AL,Toronto,4,8,8,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0.125,0.125,0.25,0.375,Anthony,Alford,Alford,546990
Greg Allen,24,1247,MLB-AL,Cleveland,19,39,35,7,8,1,0,1,6,2,0,8,1,0,1,0,1,0,0.229,0.282,0.343,0.625,Greg,Allen,Allen,656185
Abraham Almonte,28,1247,MLB-AL,Cleveland,67,195,172,26,40,8,3,3,14,20,0,46,1,1,1,2,2,1,0.233,0.314,0.366,0.681,Abraham,Almonte,Almonte,501659
Albert Almora,23,1247,MLB-NL,Chicago,123,323,299,39,89,18,1,8,46,19,1,53,0,3,2,8,1,0,0.298,0.338,0.445,0.782,Albert,Almora,Almora,546991
Yonder Alonso,30,1247,MLB-AL,"Oakland,Seattle",139,520,450,72,120,22,0,28,67,68,6,117,2,0,0,9,2,0,0.267,0.365,0.502,0.868,Yonder,Alonso,Alonso,475174
Aaron Altherr,26,1247,MLB-NL,Philadelphia,104,412,372,58,101,24,5,19,65,32,2,104,7,0,1,12,5,4,0.272,0.34,0.516,0.856,Aaron,Altherr,Altherr,571437
Jose Altuve,27,1247,MLB-AL,Houston,153,662,590,112,204,39,4,24,81,58,3,84,9,1,4,19,32,5,0.346,0.41,0.547,0.957,Jose,Altuve,Altuve,514888
Henderson Alvarez III,27,1248,MLB-NL,Philadelphia,3,6,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Henderson,Alvarez III,III,506693
Pedro Alvarez,30,1248,MLB-AL,Baltimore,14,34,32,4,10,1,0,1,4,2,0,10,0,0,0,0,0,0,0.313,0.353,0.438,0.79,Pedro,Alvarez,Alvarez,476883
Alexi Amarista,28,1247,MLB-NL,Colorado,92,176,168,22,40,10,0,3,19,7,0,38,0,1,0,5,1,0,0.238,0.269,0.351,0.62,Alexi,Amarista,Amarista,506560
Brett Anderson,29,1407,MLB-NL,Chicago,4,8,7,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0.143,0.25,0.143,0.393,Brett,Anderson,Anderson,474463
Brian Anderson,24,1247,MLB-NL,Miami,25,95,84,11,22,7,1,0,8,10,0,28,0,0,1,1,0,0,0.262,0.337,0.369,0.706,Brian,Anderson,Anderson,605119
Chase Anderson,29,1249,MLB-NL,Milwaukee,24,55,52,1,7,1,0,0,3,0,0,29,0,3,0,1,0,0,0.135,0.135,0.154,0.288,Chase,Anderson,Anderson,502624
Tim Anderson,24,1247,MLB-AL,Chicago,146,606,587,72,151,26,4,17,56,13,0,162,3,2,1,13,15,1,0.257,0.276,0.402,0.679,Tim,Anderson,Anderson,641313
Tyler Anderson,27,1252,MLB-NL,Colorado,16,33,26,1,1,0,0,0,0,1,0,17,0,6,0,1,0,0,0.038,0.074,0.038,0.113,Tyler,Anderson,Anderson,542881
Elvis Andrus,28,1247,MLB-AL,Texas,158,689,643,100,191,44,4,20,88,38,0,101,3,1,4,18,25,9,0.297,0.337,0.471,0.808,Elvis,Andrus,Andrus,462101
Miguel Andujar,22,1247,MLB-AL,New York,3,8,7,0,4,2,0,0,4,1,0,0,0,0,0,0,1,0,0.571,0.625,0.857,1.482,Miguel,Andujar,Andujar,609280
Nori Aoki,35,1247,"MLB-NL,MLB-AL","New York,Toronto,Houston",109,374,336,48,93,20,2,5,35,29,1,44,3,1,5,12,10,2,0.277,0.335,0.393,0.728,Nori,Aoki,Aoki,493114
Jayson Aquino,24,1335,MLB-AL,Baltimore,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jayson,Aquino,Aquino,593969
Chris Archer,28,1282,MLB-AL,Tampa Bay,3,8,8,1,2,0,0,0,1,0,0,3,0,0,0,1,0,0,0.25,0.25,0.25,0.5,Chris,Archer,Archer,502042
Orlando Arcia,22,1248,MLB-NL,Milwaukee,152,548,506,56,140,17,2,15,53,36,9,100,1,2,3,10,14,5,0.277,0.324,0.407,0.731,Orlando,Arcia,Arcia,606115
Nolan Arenado,26,1247,MLB-NL,Colorado,159,680,606,100,187,43,7,37,130,62,9,106,4,1,6,21,3,2,0.309,0.373,0.586,0.959,Nolan,Arenado,Arenado,571448
Jake Arrieta,31,1252,MLB-NL,Chicago,29,64,61,2,8,0,1,1,5,1,0,32,0,2,0,0,0,0,0.131,0.145,0.213,0.358,Jake,Arrieta,Arrieta,453562
Bronson Arroyo,40,1352,MLB-NL,Cincinnati,15,29,26,0,4,0,0,0,0,0,0,10,0,3,0,0,0,0,0.154,0.154,0.154,0.308,Bronson,Arroyo,Arroyo,276520
