Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
José Abreu,34,1,MLB-AL,Chicago,54,227,194,27,49,7,1,11,46,22,0,56,6,0,5,1,1,0,0.253,0.339,0.469,0.808,José,Abreu,Abreu,547989
Ronald Acuna Jr.,23,0,MLB-NL,Atlanta,53,233,194,46,54,9,1,17,35,32,1,49,4,0,3,0,11,3,0.278,0.386,0.598,0.984,Ronald,Acuna,Jr.,660670
Willy Adames,25,0,"MLB-AL,MLB-NL","Tampa Bay,Milwaukee",56,201,184,22,40,8,1,8,26,17,0,68,0,0,0,0,1,2,0.217,0.284,0.402,0.686,Willy,Adames,Adames,642715
Matt Adams,32,0,MLB-NL,Colorado,16,33,29,3,5,1,0,0,1,4,1,7,0,0,0,1,0,0,0.172,0.273,0.207,0.48,Matt,Adams,Adams,571431
Ehire Adrianza,31,0,MLB-NL,Atlanta,42,104,91,13,21,4,1,3,17,9,0,20,0,1,3,0,0,0,0.231,0.291,0.396,0.687,Ehire,Adrianza,Adrianza,501303
Jesus Aguilar,31,0,MLB-NL,Miami,56,220,196,23,52,9,0,12,44,18,3,39,1,0,5,3,0,0,0.265,0.323,0.495,0.818,Jesus,Aguilar,Aguilar,542583
Nick Ahmed,31,0,MLB-NL,Arizona,51,183,167,14,38,12,1,1,9,14,0,49,1,1,0,0,3,1,0.228,0.291,0.329,0.621,Nick,Ahmed,Ahmed,605113
Shogo Akiyama,33,0,MLB-NL,Cincinnati,22,49,44,5,9,1,0,0,4,4,0,9,1,0,0,0,1,1,0.205,0.286,0.227,0.513,Shogo,Akiyama,Akiyama,673451
Hanser Alberto,28,2,MLB-AL,Kansas City,41,98,94,11,25,7,2,0,7,0,0,12,1,2,1,0,0,1,0.266,0.271,0.383,0.654,Hanser,Alberto,Alberto,593643
Ozzie Albies,24,0,MLB-NL,Atlanta,55,236,211,35,54,19,3,9,37,20,0,40,3,0,2,0,5,1,0.256,0.326,0.502,0.829,Ozzie,Albies,Albies,645277
Sandy Alcantara,25,0,MLB-NL,Miami,11,25,23,0,2,1,0,0,0,2,0,19,0,0,0,0,0,0,0.087,0.16,0.13,0.29,Sandy,Alcantara,Alcantara,645261
Sergio Alcantara,24,0,MLB-NL,Chicago,8,15,14,2,6,2,2,0,0,0,0,3,1,0,0,0,0,0,0.429,0.467,0.857,1.324,Sergio,Alcantara,Alcantara,642727
Jorge Alfaro,28,1,MLB-NL,Miami,20,67,63,4,15,2,0,2,7,2,0,21,2,0,0,0,2,0,0.238,0.284,0.365,0.649,Jorge,Alfaro,Alfaro,595751
Anthony Alford,26,49,MLB-NL,Pittsburgh,11,29,24,2,2,0,0,0,0,4,0,16,1,0,0,0,1,1,0.083,0.241,0.083,0.325,Anthony,Alford,Alford,546990
Austin Allen,27,29,MLB-AL,Oakland,2,6,6,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0.167,0.167,0.667,0.833,Austin,Allen,Allen,664119
Logan Allen,24,51,MLB-AL,Cleveland,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Logan,Allen,Allen,663531
Abraham Almonte,32,0,MLB-NL,Atlanta,7,16,11,3,3,2,0,1,2,5,0,2,0,0,0,0,0,0,0.273,0.5,0.727,1.227,Abraham,Almonte,Almonte,501659
Yency Almonte,27,23,MLB-NL,Colorado,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Yency,Almonte,Almonte,622075
Albert Almora,27,26,MLB-NL,New York,20,22,21,1,1,0,0,0,0,1,0,8,0,0,0,0,0,0,0.048,0.091,0.048,0.139,Albert,Almora,Almora,546991
Pete Alonso,26,0,MLB-NL,"New York,Miami",44,177,153,25,38,7,0,7,25,19,0,41,3,0,2,2,0,0,0.248,0.339,0.431,0.77,Pete,Alonso,Alonso,624413
Jose Altuve,31,0,MLB-AL,Houston,48,226,199,39,60,6,0,9,27,22,2,32,1,0,4,0,2,1,0.302,0.367,0.467,0.835,Jose,Altuve,Altuve,514888
Jose Alvarez,32,8,MLB-NL,San Francisco,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,Jose,Alvarez,Alvarez,501625
Yordan Álvarez,24,0,MLB-AL,Houston,46,194,180,31,53,13,1,7,28,7,1,52,5,0,2,1,0,0,0.294,0.335,0.494,0.829,Yordan,Álvarez,Álvarez,670541
Adbert Alzolay,26,4,MLB-NL,Chicago,10,16,16,1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0.063,0.063,0.063,0.125,Adbert,Alzolay,Alzolay,640470
Brett Anderson,33,3,MLB-NL,Milwaukee,8,14,11,1,0,0,0,0,1,3,0,5,0,0,0,1,0,0,0.0,0.214,0.0,0.214,Brett,Anderson,Anderson,474463
Brian Anderson,28,13,MLB-NL,Miami,35,136,124,13,31,6,0,3,11,12,1,36,0,0,0,0,3,0,0.25,0.316,0.371,0.687,Brian,Anderson,Anderson,605119
Chase Anderson,33,26,MLB-NL,Philadelphia,7,11,10,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,0.0,0.0,Chase,Anderson,Anderson,502624
Ian Anderson,23,2,MLB-NL,Atlanta,9,17,14,0,1,1,0,0,0,0,0,11,0,3,0,0,0,0,0.071,0.071,0.143,0.214,Ian,Anderson,Anderson,666120
Tim Anderson,28,0,MLB-AL,Chicago,46,203,192,34,57,8,0,6,22,10,1,49,1,0,0,0,9,5,0.297,0.335,0.432,0.767,Tim,Anderson,Anderson,641313
Tyler Anderson,31,3,MLB-NL,Pittsburgh,10,21,21,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0.095,0.095,0.095,0.19,Tyler,Anderson,Anderson,542881
John Andreoli,31,20,MLB-NL,San Diego,7,7,6,2,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0.167,0.286,0.333,0.619,John,Andreoli,Andreoli,607430
Elvis Andrus,32,0,MLB-AL,Oakland,58,201,187,14,40,9,1,0,7,12,1,35,0,0,2,0,4,2,0.214,0.259,0.273,0.531,Elvis,Andrus,Andrus,462101
Miguel Andujar,26,0,MLB-AL,New York,24,85,85,8,20,1,0,3,5,0,0,22,0,0,0,2,0,0,0.235,0.235,0.353,0.588,Miguel,Andujar,Andujar,609280
Tejay Antone,27,16,MLB-NL,Cincinnati,5,5,3,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0.0,0.25,0.0,0.25,Tejay,Antone,Antone,622088
Aristides Aquino,27,54,MLB-NL,Cincinnati,10,14,13,2,3,1,0,2,3,1,1,5,0,0,0,0,0,0,0.231,0.286,0.769,1.055,Aristides,Aquino,Aquino,606157
Jonathan Arauz,22,21,MLB-AL,Boston,4,10,8,2,2,1,0,0,1,2,0,3,0,0,0,0,0,0,0.25,0.4,0.375,0.775,Jonathan,Arauz,Arauz,660620
Orlando Arcia,26,62,MLB-NL,Milwaukee,4,11,11,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0.091,0.091,0.091,0.182,Orlando,Arcia,Arcia,606115
Nolan Arenado,30,0,MLB-NL,St. Louis,59,249,230,30,66,19,1,11,40,15,3,33,2,0,2,3,0,0,0.287,0.333,0.522,0.855,Nolan,Arenado,Arenado,571448
Randy Arozarena,26,0,MLB-AL,Tampa Bay,57,252,222,38,56,10,0,7,27,24,1,72,5,0,1,2,9,2,0.252,0.337,0.392,0.729,Randy,Arozarena,Arozarena,668227
Luis Arraez,24,14,MLB-AL,Minnesota,39,162,141,20,39,3,1,1,14,17,1,18,2,0,2,0,0,1,0.277,0.358,0.333,0.691,Luis,Arraez,Arraez,650333
Jake Arrieta,35,2,MLB-NL,Chicago,11,17,15,1,2,0,0,0,0,1,0,10,0,1,0,0,0,0,0.133,0.188,0.133,0.321,Jake,Arrieta,Arrieta,453562
Christian Arroyo,26,0,MLB-AL,Boston,30,98,90,11,26,9,0,1,8,3,0,25,3,1,0,0,1,0,0.289,0.333,0.422,0.756,Christian,Arroyo,Arroyo,624414
Willians Astudillo,29,0,MLB-AL,Minnesota,35,113,110,7,28,4,0,4,12,0,0,9,2,0,1,0,0,0,0.255,0.265,0.4,0.665,Willians,Astudillo,Astudillo,553902
Alex Avila,34,0,MLB-NL,Washington,17,64,51,2,9,5,1,0,6,12,0,21,1,0,0,0,0,0,0.176,0.344,0.314,0.657,Alex,Avila,Avila,488671
Akil Baddoo,22,0,MLB-AL,Detroit,44,132,112,14,27,6,4,5,20,18,1,47,0,0,2,0,6,0,0.241,0.341,0.5,0.841,Akil,Baddoo,Baddoo,668731
Harrison Bader,27,13,MLB-NL,St. Louis,22,83,73,8,16,2,0,4,9,9,5,13,0,0,1,0,3,1,0.219,0.301,0.411,0.712,Harrison,Bader,Bader,664056
Javier Baez,28,0,MLB-NL,Chicago,54,218,204,32,49,5,1,14,39,7,1,80,4,0,2,1,9,1,0.24,0.276,0.48,0.757,Javier,Baez,Baez,595879
Caleb Baragar,27,14,MLB-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Caleb,Baragar,Baragar,670056
Austin Barnes,31,1,MLB-NL,Los Angeles,32,102,87,10,20,5,0,2,14,13,0,25,1,1,0,1,0,0,0.23,0.337,0.356,0.693,Austin,Barnes,Barnes,605131
Tucker Barnhart,30,0,MLB-NL,Cincinnati,45,160,139,25,37,12,0,3,19,16,0,48,4,0,1,1,0,0,0.266,0.356,0.417,0.774,Tucker,Barnhart,Barnhart,571466
Luis Barrera,25,14,MLB-AL,Oakland,4,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.2,0.4,Luis,Barrera,Barrera,642456
Tres Barrera,26,60,MLB-NL,Washington,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Tres,Barrera,Barrera,668663
Joey Bart,24,33,MLB-NL,San Francisco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Joey,Bart,Bart,663698
Chris Bassitt,32,55,MLB-AL,Oakland,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Chris,Bassitt,Bassitt,605135
Trevor Bauer,30,0,MLB-NL,Los Angeles,10,26,22,0,0,0,0,0,1,1,0,9,0,3,0,0,0,0,0.0,0.043,0.0,0.043,Trevor,Bauer,Bauer,545333
Jake Bauers,25,5,MLB-AL,Cleveland,43,113,100,7,19,3,0,2,6,12,1,27,0,0,0,0,0,1,0.19,0.277,0.28,0.557,Jake,Bauers,Bauers,641343
Matt Beaty,28,1,MLB-NL,Los Angeles,45,104,91,17,26,3,0,3,26,10,0,19,3,0,0,0,0,1,0.286,0.375,0.418,0.793,Matt,Beaty,Beaty,607461
Josh Bell,28,0,MLB-NL,Washington,46,172,157,28,34,7,0,8,24,13,0,43,1,0,1,1,0,0,0.217,0.279,0.414,0.693,Josh,Bell,Bell,458679
Cody Bellinger,25,0,MLB-NL,Los Angeles,12,54,46,9,9,1,1,1,9,8,0,17,0,0,0,0,1,0,0.196,0.315,0.326,0.641,Cody,Bellinger,Bellinger,641355
Brandon Belt,33,12,MLB-NL,San Francisco,40,137,114,18,26,4,0,8,21,21,0,46,1,0,1,1,2,1,0.228,0.35,0.474,0.824,Brandon,Belt,Belt,474832
Anthony Bemboom,31,6,MLB-AL,Los Angeles,8,28,27,2,6,0,0,0,2,1,0,10,0,0,0,1,0,0,0.222,0.25,0.222,0.472,Anthony,Bemboom,Bemboom,621532
Andrew Benintendi,26,0,MLB-AL,Kansas City,54,217,197,27,58,6,1,6,29,17,0,41,1,0,2,2,7,6,0.294,0.35,0.426,0.777,Andrew,Benintendi,Benintendi,643217
Jose Berrios,27,64,MLB-AL,Minnesota,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jose,Berrios,Berrios,621244
Jon Berti,31,0,MLB-NL,Miami,50,147,126,18,22,6,1,2,10,18,0,34,1,1,1,0,4,3,0.175,0.281,0.286,0.567,Jon,Berti,Berti,542932
Alec Bettinger,25,35,MLB-NL,Milwaukee,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Alec,Bettinger,Bettinger,676424
Mookie Betts,28,0,MLB-NL,Los Angeles,49,231,194,31,50,18,1,5,20,29,1,35,7,0,1,0,5,3,0.258,0.372,0.438,0.81,Mookie,Betts,Betts,605141
Bo Bichette,23,0,MLB-AL,Toronto,57,251,233,46,61,12,1,11,34,15,0,64,2,0,1,2,7,0,0.262,0.311,0.464,0.774,Bo,Bichette,Bichette,666182
Shane Bieber,26,49,MLB-AL,Cleveland,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Shane,Bieber,Bieber,669456
Cavan Biggio,26,16,MLB-AL,Toronto,39,151,127,14,26,3,1,3,11,20,1,47,1,1,1,0,2,1,0.205,0.315,0.315,0.63,Cavan,Biggio,Biggio,624415
Braden Bishop,27,48,MLB-AL,Seattle,8,5,4,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0.25,0.25,0.25,0.5,Braden,Bishop,Bishop,623323
Charlie Blackmon,34,0,MLB-NL,Colorado,56,212,183,23,49,11,1,4,32,23,1,27,6,0,0,1,0,0,0.268,0.368,0.404,0.772,Charlie,Blackmon,Blackmon,453568
Alex Blandino,28,2,MLB-NL,Cincinnati,42,82,70,9,14,4,0,0,5,8,0,28,4,0,0,0,1,0,0.2,0.317,0.257,0.574,Alex,Blandino,Blandino,607468
Travis Blankenhorn,24,0,"MLB-AL,MLB-NL","Minnesota,New York",6,7,6,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0.167,0.286,0.333,0.619,Travis,Blankenhorn,Blankenhorn,663905
Richard Bleier,34,25,MLB-NL,Miami,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,Richard,Bleier,Bleier,542947
Xander Bogaerts,28,0,MLB-AL,Boston,56,234,211,33,67,16,0,10,36,19,1,45,2,0,2,0,4,0,0.318,0.376,0.536,0.912,Xander,Bogaerts,Bogaerts,593428
Alec Bohm,24,0,MLB-NL,Philadelphia,57,224,206,21,43,7,0,4,26,14,0,63,0,0,4,5,3,0,0.209,0.254,0.301,0.555,Alec,Bohm,Bohm,664761
Skye Bolt,27,0,"MLB-AL,MLB-NL","Oakland,San Francisco",5,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Skye,Bolt,Bolt,621450
David Bote,28,8,MLB-NL,Chicago,49,162,144,16,29,5,0,5,23,13,0,36,3,1,1,1,0,1,0.201,0.28,0.34,0.62,David,Bote,Bote,623520
Matthew Boyd,30,5,MLB-AL,Detroit,1,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.5,0.0,0.5,Matthew,Boyd,Boyd,571510
Archie Bradley,28,5,MLB-NL,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Archie,Bradley,Bradley,605151
Bobby Bradley,25,0,MLB-AL,Cleveland,2,5,5,3,4,2,0,1,3,0,0,0,0,0,0,0,0,0,0.8,0.8,1.8,2.6,Bobby,Bradley,Bradley,656252
Jackie Bradley Jr.,31,0,MLB-NL,Milwaukee,51,186,169,17,26,3,2,5,14,9,0,60,6,0,2,1,2,1,0.154,0.22,0.284,0.504,Jackie,Bradley,Jr.,598265
Michael Brantley,34,14,MLB-AL,Houston,41,179,167,25,51,14,1,3,15,10,0,22,1,0,1,2,0,0,0.305,0.346,0.455,0.801,Michael,Brantley,Brantley,488726
Alex Bregman,27,0,MLB-AL,Houston,51,227,199,33,57,12,0,6,29,26,3,34,2,0,0,3,0,0,0.286,0.374,0.437,0.812,Alex,Bregman,Bregman,608324
Lewis Brinson,27,1,MLB-NL,Miami,26,64,63,3,14,3,0,2,5,1,0,19,0,0,0,1,0,0,0.222,0.234,0.365,0.599,Lewis,Brinson,Brinson,621446
Mike Brosseau,27,0,MLB-AL,Tampa Bay,43,125,112,17,19,6,0,4,14,11,0,46,2,0,0,1,1,0,0.17,0.256,0.33,0.586,Mike,Brosseau,Brosseau,670712
Seth Brown,28,0,MLB-AL,Oakland,47,135,123,17,24,5,0,8,21,12,0,35,0,0,0,0,0,0,0.195,0.267,0.431,0.698,Seth,Brown,Brown,664913
JT Brubaker,27,1,MLB-NL,Pittsburgh,10,19,16,0,2,0,0,0,3,2,0,6,0,1,0,1,0,0,0.125,0.222,0.125,0.347,JT,Brubaker,Brubaker,664141
Jay Bruce,34,53,MLB-AL,New York,10,39,34,3,4,1,0,1,3,5,0,13,0,0,0,1,0,0,0.118,0.231,0.235,0.466,Jay,Bruce,Bruce,457803
Kris Bryant,29,0,MLB-NL,Chicago,55,232,204,38,63,16,1,13,38,24,1,53,3,0,1,0,3,2,0.309,0.388,0.588,0.976,Kris,Bryant,Bryant,592178
Walker Buehler,26,4,MLB-NL,Los Angeles,11,28,24,0,2,1,0,0,2,1,0,14,0,3,0,0,0,0,0.083,0.12,0.125,0.245,Walker,Buehler,Buehler,621111
Madison Bumgarner,31,4,MLB-NL,Arizona,14,27,21,1,3,1,0,0,2,4,0,14,1,0,1,0,0,0,0.143,0.296,0.19,0.487,Madison,Bumgarner,Bumgarner,518516
Dylan Bundy,28,6,MLB-AL,Los Angeles,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,Dylan,Bundy,Bundy,605164
Corbin Burnes,26,0,MLB-NL,Milwaukee,9,19,16,1,3,0,0,0,2,2,0,9,0,1,0,0,0,0,0.188,0.278,0.188,0.465,Corbin,Burnes,Burnes,669203
Drew Butera,37,10,MLB-AL,Los Angeles,12,36,32,1,3,1,0,0,5,0,0,16,0,3,1,0,0,0,0.094,0.091,0.125,0.216,Drew,Butera,Butera,460077
Byron Buxton,27,31,MLB-AL,Minnesota,24,98,92,19,34,10,0,9,17,4,0,23,2,0,0,0,5,0,0.37,0.408,0.772,1.18,Byron,Buxton,Buxton,621439
Asdrubal Cabrera,35,0,MLB-NL,Arizona,37,138,116,18,33,9,0,4,19,19,1,26,1,0,2,0,1,0,0.284,0.384,0.466,0.85,Asdrubal,Cabrera,Cabrera,452678
Miguel Cabrera,38,0,MLB-AL,Detroit,42,173,157,13,31,2,0,5,21,14,0,41,1,0,1,0,0,0,0.197,0.266,0.306,0.572,Miguel,Cabrera,Cabrera,408234
Trevor Cahill,33,18,MLB-NL,Pittsburgh,7,9,9,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.111,0.111,0.111,0.222,Trevor,Cahill,Cahill,502239
Lorenzo Cain,35,6,MLB-NL,Milwaukee,31,118,103,17,23,4,0,3,9,14,0,24,1,0,0,0,4,1,0.223,0.322,0.35,0.672,Lorenzo,Cain,Cain,456715
Kole Calhoun,33,40,MLB-NL,Arizona,13,51,48,6,14,3,0,2,5,3,0,13,0,0,0,0,1,0,0.292,0.333,0.479,0.812,Kole,Calhoun,Calhoun,594777
Willie Calhoun,26,0,MLB-AL,Texas,43,173,157,17,41,7,1,5,15,15,0,20,1,0,0,0,0,2,0.261,0.329,0.414,0.743,Willie,Calhoun,Calhoun,641432
Johan Camargo,27,4,MLB-NL,Atlanta,14,17,15,1,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0.0,0.118,0.0,0.118,Johan,Camargo,Camargo,622666
Eric Campbell,34,8,MLB-AL,Seattle,4,12,11,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0.273,0.333,0.273,0.606,Eric,Campbell,Campbell,493472
Paul Campbell,25,36,MLB-NL,Miami,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Paul,Campbell,Campbell,111936
Luis Campusano,22,42,MLB-NL,San Diego,11,38,34,0,3,0,0,0,1,4,0,11,0,0,0,0,0,0,0.088,0.184,0.088,0.272,Luis,Campusano,Campusano,669134
Jeimer Candelario,27,0,MLB-AL,Detroit,57,241,218,27,58,13,0,4,18,22,0,63,1,0,0,2,0,0,0.266,0.336,0.381,0.717,Jeimer,Candelario,Candelario,600869
Mark Canha,32,0,MLB-AL,Oakland,59,263,216,47,56,10,2,11,22,34,0,55,12,0,1,0,7,1,0.259,0.388,0.477,0.865,Mark,Canha,Canha,592192
Victor Caratini,27,1,MLB-NL,San Diego,44,141,123,16,26,4,0,4,22,15,1,41,2,0,1,3,2,0,0.211,0.305,0.341,0.646,Victor,Caratini,Caratini,605170
Dylan Carlson,22,0,MLB-NL,St. Louis,58,239,206,31,57,10,2,6,26,25,1,57,4,0,4,0,0,0,0.277,0.36,0.432,0.792,Dylan,Carlson,Carlson,666185
Matt Carpenter,35,0,MLB-NL,St. Louis,52,112,93,11,15,5,0,3,13,16,1,34,2,0,1,0,1,0,0.161,0.295,0.312,0.606,Matt,Carpenter,Carpenter,572761
Curt Casali,32,7,MLB-NL,San Francisco,26,80,67,5,7,1,0,0,6,11,1,24,2,0,0,0,0,0,0.104,0.25,0.119,0.369,Curt,Casali,Casali,592200
Daniel Castano,26,29,MLB-NL,Miami,4,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Daniel,Castano,Castano,641447
Ryan Castellani,25,33,MLB-NL,Colorado,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Ryan,Castellani,Castellani,624418
Nick Castellanos,29,0,MLB-NL,Cincinnati,52,229,209,37,75,18,1,12,31,18,0,42,2,0,0,1,1,1,0.359,0.415,0.627,1.042,Nick,Castellanos,Castellanos,592206
Ivan Castillo,26,21,MLB-NL,San Diego,3,4,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.333,0.5,0.333,0.833,Ivan,Castillo,Castillo,622668
Luis Castillo,28,2,MLB-NL,Cincinnati,11,18,16,1,3,2,0,0,1,1,0,6,0,1,0,0,0,0,0.188,0.235,0.313,0.548,Luis,Castillo,Castillo,112116
Harold Castro,27,1,MLB-AL,Detroit,33,106,98,6,30,1,0,0,11,7,0,20,0,1,0,0,0,0,0.306,0.352,0.316,0.669,Harold,Castro,Castro,605612
Jason Castro,34,14,MLB-AL,Houston,20,59,48,10,13,4,0,2,8,9,0,17,1,1,0,1,0,0,0.271,0.397,0.479,0.876,Jason,Castro,Castro,488771
Rodolfo Castro,22,46,MLB-NL,Pittsburgh,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Rodolfo,Castro,Castro,666801
Starlin Castro,31,0,MLB-NL,Washington,56,229,209,12,51,8,0,2,20,17,0,44,0,0,3,0,0,0,0.244,0.297,0.311,0.608,Starlin,Castro,Castro,516770
Willi Castro,24,0,MLB-AL,Detroit,47,184,167,21,38,7,2,4,19,10,0,51,5,1,1,1,2,0,0.228,0.29,0.365,0.655,Willi,Castro,Castro,650489
Jake Cave,28,25,MLB-AL,Minnesota,31,93,84,8,14,5,0,1,2,6,0,35,2,1,0,0,1,0,0.167,0.239,0.262,0.501,Jake,Cave,Cave,595909
Dylan Cease,25,33,MLB-AL,Chicago,1,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.333,2.333,Dylan,Cease,Cease,656302
Gilberto Celestino,22,1,MLB-AL,Minnesota,4,12,12,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0.0,0.0,0.0,0.0,Gilberto,Celestino,Celestino,665482
Jhoulys Chacin,33,22,MLB-NL,Colorado,4,6,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,Jhoulys,Chacin,Chacin,468504
Yu Chang,25,0,MLB-AL,Cleveland,36,88,83,10,15,6,0,1,10,4,0,25,0,0,1,1,1,0,0.181,0.216,0.289,0.505,Yu,Chang,Chang,644374
Matt Chapman,28,0,MLB-AL,Oakland,60,241,200,22,41,6,2,5,23,33,0,77,1,0,7,0,1,0,0.205,0.311,0.33,0.641,Matt,Chapman,Chapman,656305
Michael Chavis,25,14,MLB-AL,Boston,11,33,33,7,9,4,0,1,2,0,0,13,0,0,0,0,0,0,0.273,0.273,0.485,0.758,Michael,Chavis,Chavis,656308
Jazz Chisholm,23,0,MLB-NL,Miami,35,143,129,18,34,5,1,7,16,11,0,47,2,0,1,0,9,2,0.264,0.329,0.481,0.809,Jazz,Chisholm,Chisholm,665862
Ji-Man Choi,30,4,MLB-AL,Tampa Bay,15,58,46,8,14,4,0,2,11,11,0,19,1,0,0,0,0,0,0.304,0.448,0.522,0.97,Ji-Man,Choi,Choi,596847
Adam Cimber,30,2,MLB-NL,Miami,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Adam,Cimber,Cimber,643256
Taylor Clarke,28,37,MLB-NL,Arizona,3,3,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.333,0.333,0.333,0.667,Taylor,Clarke,Clarke,664199
Garrett Cleavinger,27,36,MLB-NL,Los Angeles,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Garrett,Cleavinger,Cleavinger,664076
Zack Collins,26,1,MLB-AL,Chicago,28,91,78,11,15,5,0,2,9,12,0,29,0,1,0,1,0,0,0.192,0.3,0.333,0.633,Zack,Collins,Collins,641470
Michael Conforto,28,21,MLB-NL,"New York,Miami",34,135,113,10,26,6,0,2,13,18,0,27,4,0,0,1,0,0,0.23,0.356,0.336,0.692,Michael,Conforto,Conforto,624424
William Contreras,23,0,MLB-NL,Atlanta,26,95,83,12,18,1,1,5,17,9,0,32,2,0,1,0,0,0,0.217,0.305,0.434,0.739,William,Contreras,Contreras,661388
Willson Contreras,29,0,MLB-NL,Chicago,53,206,176,28,44,5,0,9,24,22,1,58,6,0,2,2,3,2,0.25,0.35,0.432,0.781,Willson,Contreras,Contreras,575929
Garrett Cooper,30,2,MLB-NL,Miami,51,179,161,17,41,7,1,5,22,15,0,50,3,0,0,0,0,1,0.255,0.33,0.404,0.733,Garrett,Cooper,Cooper,643265
Patrick Corbin,31,3,MLB-NL,Washington,10,21,17,0,3,0,0,0,0,1,0,8,0,3,0,0,0,0,0.176,0.222,0.176,0.399,Patrick,Corbin,Corbin,571578
Franchy Cordero,26,14,MLB-AL,Boston,34,102,95,9,17,6,0,1,9,6,0,37,0,1,0,0,1,0,0.179,0.228,0.274,0.501,Franchy,Cordero,Cordero,614173
