last_name, first_name,player_id,year,b_ab,b_total_pa,b_single,b_double,b_triple,b_home_run,b_walk,b_k_percent,b_bb_percent,on_base_plus_slg,isolated_power,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_hit_by_pitch,r_run,r_stolen_base_pct,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,sprint_speed,
Pujols, Albert,405395,2021,130,140,16,2,0,8,6,15.7,4.3,.657,.200,22,52,0,1,4,13,,.254,.484,.335,.306,.230,90.7,16,32.1,11,9.8,42.9,20.3,46.3,39.3,31.3,22.4,
Cabrera, Miguel,408234,2021,149,165,23,2,0,5,14,23.0,8.5,.588,.114,21,47,0,0,1,13,,.222,.393,.301,.291,.171,89.7,8.8,25.6,10,8.5,46.2,23.5,48.9,53,23.9,24.3,
Molina, Yadier,425877,2021,148,159,23,11,0,7,9,20.8,5.7,.808,.216,27,73,0,0,0,18,,.286,.511,.354,.324,.225,89.8,17.1,36.8,11,9.4,39.3,30.6,58.2,36.8,29.9,23.3,
Suzuki, Kurt,435559,2021,88,100,14,3,0,1,6,19.0,6.0,.543,.068,5,24,0,0,3,6,,.189,.276,.248,.268,.086,84.4,13,28.8,2,2.7,23.3,20.9,47.6,49.3,20.5,25.0,
Cruz Jr., Nelson,443558,2021,171,198,30,7,1,10,19,20.2,9.6,.862,.228,25,87,0,1,3,27,,.255,.515,.373,.342,.260,92.3,10.1,27.5,21,15.2,53.6,31.5,49.2,46.4,31.2,26.0,
Peralta, David,444482,2021,204,220,29,12,5,4,16,17.3,7.3,.712,.167,30,84,1,1,0,24,,.236,.341,.278,.293,.106,88.6,4.3,26,9,5.3,37.9,23.3,46.4,55.6,14.2,27.6,
Pina, Manny,444489,2021,53,64,4,1,0,4,10,17.2,15.6,.712,.245,8,22,0,0,0,6,,.234,.470,.356,.355,.236,86.9,14.9,28.3,5,10.9,39.1,21.9,38.3,43.5,28.3,24.7,
Longoria, Evan,446334,2021,161,186,25,11,0,9,25,22.6,13.4,.892,.236,30,83,1,1,0,28,,.300,.600,.414,.394,.300,95.9,15.7,40.3,18,15.1,61.3,27.3,41.8,37.8,31.9,26.2,
Cabrera, Asdrubal,452678,2021,115,137,20,9,0,4,19,19.0,13.9,.856,.183,19,54,0,1,1,18,,.250,.433,.345,.359,.183,88.7,18.3,30.4,9,9.8,35.9,22.3,45.1,35.9,27.2,24.4,
Blackmon, Charlie,453568,2021,179,208,32,11,1,4,23,12.0,11.1,.778,.140,32,73,0,0,6,22,,.308,.491,.388,.402,.183,89,10.6,33.3,12,7.7,45.5,18.4,47.4,46.8,24.4,26.7,
Maldonado, Martin,455117,2021,144,159,15,3,1,4,13,31.4,8.2,.517,.118,14,40,0,0,2,14,,.194,.301,.261,.277,.107,87.9,17.2,33,4,4.1,27.8,30,44.6,38.1,26.8,23.5,
Cain, Lorenzo,456715,2021,103,118,16,4,0,3,14,20.3,11.9,.672,.126,9,36,1,4,1,17,,.244,.405,.329,.340,.161,88.5,8.2,35.4,5,6.3,40.5,26.3,42.6,46.8,27.8,28.4,
Solano, Donovan,456781,2021,96,107,19,5,0,2,6,19.6,5.6,.694,.115,11,37,0,1,1,13,,.253,.391,.294,.293,.138,86.7,11.3,40.2,5,6.1,34.1,18.1,49.3,41.5,25.6,25.9,
McCutchen, Andrew,457705,2021,183,221,23,6,1,10,33,26.2,14.9,.761,.208,28,78,0,3,1,25,,.249,.448,.353,.360,.199,89.1,10.4,34.8,11,8.3,38.6,29.6,39.5,49.2,24.2,28.5,
Upton, Justin,457708,2021,169,192,20,5,0,12,20,31.3,10.4,.764,.243,26,78,1,2,1,25,,.233,.485,.345,.318,.252,92.7,17.8,32.7,17,15,49.6,34,44.3,39.8,32.7,27.5,
Turner, Justin,457759,2021,200,233,35,9,0,9,30,20.6,12.9,.806,.180,30,89,0,0,1,36,,.254,.461,.353,.353,.207,91.6,19.9,39.9,15,9.5,48.1,19.9,43,35.4,32.3,25.1,
Posey III, Buster,457763,2021,140,159,30,5,0,10,18,17.0,11.3,.974,.250,21,80,0,0,1,26,,.306,.560,.397,.387,.255,89.6,8.3,41,12,10.3,47.9,22.4,43.7,46.2,22.2,24.5,
Votto, Joey,458015,2021,106,118,13,6,0,5,11,21.2,9.3,.730,.198,17,45,0,0,1,9,,.273,.541,.377,.347,.268,92.6,13.5,37,10,12.3,49.4,32.2,47.2,44.4,28.4,24.5,
